username,email,first_name,last_name,identity_card_number,nip,date_of_birth,pesel,phone_number,iban
kmazurek0,kmazurek+0,Ryszard,Ochota,YYB231755,5822047533,1975-05-26,75052688616,609587669,PL88966664197530783019234638
kmazurek1,kmazurek+1,Agnieszka,Kononowicz,YVH139681,5716928608,1949-06-15,49061511911,726678817,PL83994829584403076189296450
kmazurek2,kmazurek+2,Ernest,Niemira,PWD030429,7265214692,1975-11-12,75111291775,578866646,PL64038383621579667197299468
kmazurek3,kmazurek+3,Kornelia,Pesta,JSC742798,1022383813,1991-02-18,91021854745,793731749,PL87286071752829295781614602
kmazurek4,kmazurek+4,Rozalia,Jeżyk,ZSW506390,3312925040,1985-07-03,85070378714,572779260,PL54881016800252110220535926
kmazurek5,kmazurek+5,Olgierd,Stosio,DNC164474,3971350052,1955-01-23,55012382983,694114132,PL55242926000751555535836635
kmazurek6,kmazurek+6,Gustaw,Tondera,WWQ103080,5022933859,1975-08-08,75080805649,609888989,PL85436618213311614736437518
kmazurek7,kmazurek+7,Artur,Raczkiewicz,KMJ067543,8576821992,1971-02-06,71020689342,886370278,PL72068570591291997145500873
kmazurek8,kmazurek+8,Krystian,Suszka,VGU738685,9874568625,1973-01-21,73012123481,515324381,PL70943022370244532269019011
kmazurek9,kmazurek+9,Gaja,Parkitny,VDW561886,2569624023,1973-02-03,73020366100,794224909,PL18795395615251191299674744
kmazurek10,kmazurek+10,Natasza,Zastawny,FYA243534,2868006770,2001-10-14,01301444498,229936749,PL33476802214534646567203477
kmazurek11,kmazurek+11,Norbert,Barej,OJI870242,5999658397,1945-08-24,45082400005,514114448,PL47529169528230380543749517
kmazurek12,kmazurek+12,Lidia,Galos,WQL747692,1193117372,1934-01-23,34012350826,668671926,PL82762862469850902009933294
kmazurek13,kmazurek+13,Malwina,Tułacz,BTN288647,1069457001,1975-02-22,75022271615,885574924,PL93964864348001726169256509
kmazurek14,kmazurek+14,Melania,Polasik,BRF065446,1547795863,1999-03-28,99032865622,607354277,PL19539706609433531990618534
kmazurek15,kmazurek+15,Krzysztof,Ścibior,IJS319040,4542923513,1963-10-12,63101277177,504583874,PL98374600909270501090139085
kmazurek16,kmazurek+16,Jakub,Miksza,OJF836863,9368916685,1992-07-20,92072041539,794296619,PL18519940823511858197003712
kmazurek17,kmazurek+17,Rafał,Pryk,QIT694770,9177433102,2001-08-03,01280375589,694465837,PL10571399231024580095208288
kmazurek18,kmazurek+18,Leon,Czura,ULD751584,9194240736,1983-06-23,83062390838,220472869,PL87571470222100401546962053
kmazurek19,kmazurek+19,Patryk,Kycia,RNS135586,2098164213,1996-06-13,96061329608,729299975,PL65879809343223494320888224
kmazurek20,kmazurek+20,Anna Maria,Klamka,OJW055230,3459360233,1990-04-13,90041341107,791557582,PL83507799085943711842620952
kmazurek21,kmazurek+21,Dariusz,Bączkiewicz,SDL614797,6964139352,1978-10-08,78100841063,539340074,PL23795233397778866283953430
kmazurek22,kmazurek+22,Daniel,Iwanow,LDP350847,2966865988,1973-03-21,73032170171,696324427,PL22791846113659371336258104
kmazurek23,kmazurek+23,Apolonia,Burchard,WYX566367,4596960424,1977-06-07,77060741000,513148644,PL88287595061269512654505576
kmazurek24,kmazurek+24,Bartek,Potok,NDE189020,9959204717,1985-12-06,85120690865,608139417,PL48933213765575322798276409
kmazurek25,kmazurek+25,Franciszek,Mordak,ULR151850,8248733697,1933-08-01,33080128489,603536581,PL84050518493863380031970311
kmazurek26,kmazurek+26,Adrian,Feluś,WMR169533,4117659343,1966-06-12,66061255067,226700094,PL11036806174544850226735771
kmazurek27,kmazurek+27,Józef,Babiuch,XEX111740,3699650060,1933-06-24,33062469854,884985253,PL76041207775809768552361981
kmazurek28,kmazurek+28,Ewelina,Janc,KQG052577,5883288828,2002-02-21,02222155038,573689908,PL07128568930652261608256734
kmazurek29,kmazurek+29,Wojciech,Domińczak,ATH881647,5388112545,1946-01-29,46012949759,221696904,PL12886270179074594574133936
kmazurek30,kmazurek+30,Krystyna,Goral,JEW425947,8761435750,1933-08-21,33082125132,531558122,PL88555792149268763968529113
kmazurek31,kmazurek+31,Jerzy,Celuch,DAL908920,2316659735,1976-12-10,76121064926,733448169,PL44509871183892259738048781
kmazurek32,kmazurek+32,Julian,Drewnik,YCF097711,2773328063,1987-06-07,87060746318,788284745,PL89882894659548426731296843
kmazurek33,kmazurek+33,Konrad,Komander,CPF773913,7568534823,1935-12-18,35121815253,785139310,PL13356866647165190773169518
kmazurek34,kmazurek+34,Gabriel,Figat,QWZ094819,5360058895,2002-11-10,02311080175,721315507,PL74105591356439953588803198
kmazurek35,kmazurek+35,Kazimierz,Linke,LEW911279,9168218404,1964-09-23,64092352113,515566858,PL35846417880094531650494999
kmazurek36,kmazurek+36,Piotr,Jaroch,SBC065897,2552116888,1944-06-10,44061085886,661602623,PL18153009572893208257395235
kmazurek37,kmazurek+37,Karina,Salomon,VZO308296,2950674458,1934-10-22,34102255475,664956433,PL08873910014238252852185236
kmazurek38,kmazurek+38,Antoni,Frymus,OTD028927,6737117985,1939-03-17,39031764034,790983003,PL52364887789326393720583322
kmazurek39,kmazurek+39,Patryk,Twardosz,RIW471010,5846309507,1992-04-06,92040608962,694523082,PL60541220220299972407925587
kmazurek40,kmazurek+40,Leonard,Mszyca,DQS592771,7019022675,1977-05-28,77052846313,538293273,PL21437518329401492847927636
kmazurek41,kmazurek+41,Apolonia,Getka,LDZ159017,9618219793,1938-08-25,38082525227,536482853,PL66473144760310836179757129
kmazurek42,kmazurek+42,Jan,Mitek,LBH336032,1811906255,1966-01-31,66013167150,500768589,PL29940918442041704605151271
kmazurek43,kmazurek+43,Gaja,Chachuła,GWH105258,4343925604,1939-03-21,39032121968,886994276,PL35826426576306944095139274
kmazurek44,kmazurek+44,Igor,Flieger,PDX280874,9168341671,1973-12-31,73123198800,320069924,PL89467134067223468267189475
kmazurek45,kmazurek+45,Marcin,Kosznik,VVY597973,4657227848,1980-05-06,80050684151,791975262,PL35651649513262241506384036
kmazurek46,kmazurek+46,Andrzej,Słobodzian,DSA416628,2849813647,2002-08-15,02281583948,571040055,PL81844949801338142073970612
kmazurek47,kmazurek+47,Ksawery,Knapek,BKV685711,1582606332,1935-12-06,35120699371,668657956,PL16690422786694572887938187
kmazurek48,kmazurek+48,Anna Maria,Borejko,JXI061577,1898827330,1959-10-19,59101923354,607588971,PL83634623499096059782324858
kmazurek49,kmazurek+49,Antoni,Fularczyk,QCT427266,8126715356,1933-08-11,33081141838,225020003,PL62895544722333843300744858
kmazurek50,kmazurek+50,Alan,Juroszek,VBI417785,2123419795,1942-07-02,42070260009,224999800,PL56650037373166322354509021
kmazurek51,kmazurek+51,Miłosz,Kiedrowicz,AJQ474701,7227710199,1935-05-20,35052020018,320960305,PL82153896215674458106778209
kmazurek52,kmazurek+52,Maks,Bobryk,HLJ100929,8487356157,1986-07-21,86072190669,572696287,PL60107883344316639315974951
